,有價證券代號,有價證券名稱,有價證券別,產業別,發行日
511,2642,宅配通,股票,航運業,2013/12/12
512,2701,萬企,股票,觀光事業,1965/03/22
513,2702,華園,股票,觀光事業,1965/02/14
514,2704,國賓,股票,觀光事業,1982/11/10
515,2705,六福,股票,觀光事業,1988/12/24
516,2706,第一店,股票,觀光事業,1991/06/25
517,2707,晶華,股票,觀光事業,1998/03/09
518,2712,遠雄來,股票,觀光事業,2013/12/03
519,2722,夏都,股票,觀光事業,2012/03/14
520,2723,美食-KY,股票,觀光事業,2010/11/22
521,2727,王品,股票,觀光事業,2012/03/06
522,2731,雄獅,股票,觀光事業,2013/09/24
523,2739,寒舍,股票,觀光事業,2016/05/19
524,2748,雲品,股票,觀光事業,2016/11/23
525,2801,彰銀,股票,金融保險業,1962/02/15
526,2809,京城銀,股票,金融保險業,1983/07/20
527,2812,台中銀,股票,金融保險業,1984/05/15
528,2816,旺旺保,股票,金融保險業,1992/05/05
529,2820,華票,股票,金融保險業,1994/10/26
530,2823,中壽,股票,金融保險業,1995/02/08
531,2832,台產,股票,金融保險業,1997/09/30
532,2834,臺企銀,股票,金融保險業,1998/01/03
533,2836,高雄銀,股票,金融保險業,1998/05/18
534,2838,聯邦銀,股票,金融保險業,1998/06/29
535,2841,台開,股票,建材營造業,1999/01/08
536,2845,遠東銀,股票,金融保險業,1998/11/27
537,2849,安泰銀,股票,金融保險業,1999/09/27
538,2850,新產,股票,金融保險業,2000/05/22
539,2851,中再保,股票,金融保險業,2000/07/06
540,2852,第一保,股票,金融保險業,2000/11/28
541,2855,統一證,股票,金融保險業,2002/09/16
542,2867,三商壽,股票,金融保險業,2012/12/18
543,2880,華南金,股票,金融保險業,2001/12/19
544,2881,富邦金,股票,金融保險業,2001/12/19
545,2882,國泰金,股票,金融保險業,2001/12/31
546,2883,開發金,股票,金融保險業,2001/12/28
547,2884,玉山金,股票,金融保險業,2002/01/28
548,2885,元大金,股票,金融保險業,2002/02/04
549,2886,兆豐金,股票,金融保險業,2002/02/04
550,2887,台新金,股票,金融保險業,2002/02/18
551,2888,新光金,股票,金融保險業,2002/02/19
552,2889,國票金,股票,金融保險業,2002/03/26
553,2890,永豐金,股票,金融保險業,2002/05/09
554,2891,中信金,股票,金融保險業,2002/05/17
555,2892,第一金,股票,金融保險業,2003/01/02
556,2897,王道銀行,股票,金融保險業,2017/05/05
557,2901,欣欣,股票,貿易百貨業,1976/05/07
558,2903,遠百,股票,貿易百貨業,1978/10/11
559,2904,匯僑,股票,其他業,1983/01/05
560,2905,三商,股票,貿易百貨業,1988/09/19
561,2906,高林,股票,貿易百貨業,1989/12/26
562,2908,特力,股票,貿易百貨業,1993/02/18
563,2910,統領,股票,貿易百貨業,1996/12/30
564,2911,麗嬰房,股票,貿易百貨業,1997/01/18
565,2912,統一超,股票,貿易百貨業,1997/08/22
566,2913,農林,股票,貿易百貨業,1962/02/09
567,2915,潤泰全,股票,貿易百貨業,1977/07/20
568,2923,鼎固-KY,股票,建材營造業,2012/12/07
569,2929,淘帝-KY,股票,貿易百貨業,2013/12/30
570,2936,客思達-KY,股票,貿易百貨業,2016/09/26
571,2939,凱羿-KY,股票,貿易百貨業,2018/01/11
572,3002,歐格,股票,電腦及週邊設備業,2002/01/23
573,3003,健和興,股票,電子零組件業,2002/02/19
574,3004,豐達科,股票,鋼鐵工業,2002/02/25
575,3005,神基,股票,電腦及週邊設備業,2002/02/25
576,3006,晶豪科,股票,半導體業,2002/03/04
577,3008,大立光,股票,光電業,2002/03/11
578,3010,華立,股票,電子通路業,2002/07/22
579,3011,今皓,股票,電子零組件業,2002/07/22
580,3013,晟銘電,股票,電腦及週邊設備業,2002/09/16
581,3014,聯陽,股票,半導體業,2002/10/29
582,3015,全漢,股票,電子零組件業,2002/10/16
583,3016,嘉晶,股票,半導體業,2002/12/24
584,3017,奇鋐,股票,電腦及週邊設備業,2002/09/27
585,3018,同開,股票,其他電子業,2002/08/26
586,3019,亞光,股票,光電業,2002/08/26
587,3021,鴻名,股票,電子零組件業,2002/08/26
588,3022,威強電,股票,電腦及週邊設備業,2002/08/26
589,3023,信邦,股票,電子零組件業,2002/08/26
590,3024,憶聲,股票,光電業,2002/08/26
591,3025,星通,股票,通信網路業,2002/08/26
592,3026,禾伸堂,股票,電子零組件業,2002/08/26
593,3027,盛達,股票,通信網路業,2002/08/26
594,3028,增你強,股票,電子通路業,2002/08/26
595,3029,零壹,股票,資訊服務業,2002/08/26
596,3030,德律,股票,其他電子業,2002/10/29
597,3031,佰鴻,股票,光電業,2002/08/26
598,3032,偉訓,股票,電子零組件業,2002/08/26
599,3033,威健,股票,電子通路業,2002/08/26
600,3034,聯詠,股票,半導體業,2002/08/26
601,3035,智原,股票,半導體業,2002/08/26
602,3036,文曄,股票,電子通路業,2002/08/26
603,3037,欣興,股票,電子零組件業,2002/08/26
604,3038,全台,股票,光電業,2002/08/26
605,3040,遠見,股票,其他業,2002/08/26
606,3041,揚智,股票,半導體業,2002/08/26
607,3042,晶技,股票,電子零組件業,2002/08/26
608,3043,科風,股票,其他電子業,2002/08/26
609,3044,健鼎,股票,電子零組件業,2002/08/26
610,3045,台灣大,股票,通信網路業,2002/08/26
611,3046,建碁,股票,電腦及週邊設備業,2002/08/26
612,3047,訊舟,股票,通信網路業,2002/08/26
613,3048,益登,股票,電子通路業,2002/10/01
614,3049,和鑫,股票,光電業,2002/09/27
615,3050,鈺德,股票,光電業,2002/10/29
616,3051,力特,股票,光電業,2002/10/28
617,3052,夆典,股票,建材營造業,1995/11/25
618,3054,立萬利,股票,半導體業,2002/11/18
619,3055,蔚華科,股票,電子通路業,2002/12/12
620,3056,總太,股票,建材營造業,2003/03/03
621,3057,喬鼎,股票,電腦及週邊設備業,2002/12/18
622,3058,立德,股票,電子零組件業,2002/12/09
623,3059,華晶科,股票,光電業,2002/12/24
624,3060,銘異,股票,電腦及週邊設備業,2003/04/21
625,3062,建漢,股票,通信網路業,2003/07/28
626,3090,日電貿,股票,電子零組件業,2007/12/31
627,3094,聯傑,股票,半導體業,2007/08/06
628,3130,一零四,股票,資訊服務業,2006/02/17
629,3138,耀登,股票,通信網路業,2020/12/11
630,3149,正達,股票,光電業,2011/11/23
631,3164,景岳,股票,生技醫療業,2010/03/22
632,3167,大量,股票,電機機械,2013/10/21
633,3189,景碩,股票,半導體業,2004/11/01
634,3209,全科,股票,電子通路業,2008/11/26
635,3229,晟鈦,股票,電子零組件業,2009/12/31
636,3231,緯創,股票,電腦及週邊設備業,2003/08/19
637,3257,虹冠電,股票,半導體業,2011/03/21
638,3266,昇陽,股票,建材營造業,2014/12/24
639,3296,勝德,股票,電子零組件業,2007/12/31
640,3305,昇貿,股票,其他電子業,2008/07/10
641,3308,聯德,股票,電子零組件業,2008/03/12
642,3311,閎暉,股票,通信網路業,2004/03/08
643,3312,弘憶股,股票,電子通路業,2010/12/29
644,3321,同泰,股票,電子零組件業,2015/12/15
645,3338,泰碩,股票,電子零組件業,2013/12/13
646,3346,麗清,股票,汽車工業,2016/12/19
647,3356,奇偶,股票,光電業,2005/03/28
648,3376,新日興,股票,電子零組件業,2007/12/31
649,3380,明泰,股票,通信網路業,2004/12/20
650,3383,新世紀,股票,光電業,2007/12/10
651,3406,玉晶光,股票,光電業,2005/12/20
652,3413,京鼎,股票,半導體業,2015/07/28
653,3416,融程電,股票,電腦及週邊設備業,2015/01/23
654,3419,譁裕,股票,通信網路業,2008/01/21
655,3432,台端,股票,電子零組件業,2010/12/30
656,3437,榮創,股票,光電業,2014/07/09
657,3443,創意,股票,半導體業,2006/11/03
658,3450,聯鈞,股票,其他電子業,2006/04/12
659,3454,晶睿,股票,光電業,2011/07/22
660,3481,群創,股票,光電業,2006/10/24
661,3494,誠研,股票,電腦及週邊設備業,2007/12/13
662,3501,維熹,股票,電子零組件業,2007/09/20
663,3504,揚明光,股票,光電業,2007/01/26
664,3515,華擎,股票,電腦及週邊設備業,2007/11/08
665,3518,柏騰,股票,其他電子業,2007/11/28
666,3528,安馳,股票,電子通路業,2016/05/18
667,3530,晶相光,股票,半導體業,2018/07/16
668,3532,台勝科,股票,半導體業,2007/12/10
669,3533,嘉澤,股票,電子零組件業,2007/12/10
670,3535,晶彩科,股票,光電業,2008/01/31
671,3536,誠創,股票,半導體業,2008/04/30
672,3543,州巧,股票,光電業,2020/04/15
673,3545,敦泰,股票,半導體業,2007/07/03
674,3550,聯穎,股票,電子零組件業,2010/11/10
675,3557,嘉威,股票,其他業,2008/02/27
676,3563,牧德,股票,光電業,2019/04/02
677,3576,聯合再生,股票,光電業,2009/01/12
678,3583,辛耘,股票,半導體業,2013/03/12
679,3588,通嘉,股票,半導體業,2009/08/14
680,3591,艾笛森,股票,光電業,2010/11/12
681,3593,力銘,股票,電子零組件業,2009/03/16
682,3596,智易,股票,通信網路業,2009/03/11
683,3605,宏致,股票,電子零組件業,2009/03/26
684,3607,谷崧,股票,電子零組件業,2009/10/28
685,3617,碩天,股票,其他電子業,2009/12/23
686,3622,洋華,股票,光電業,2009/03/25
687,3645,達邁,股票,電子零組件業,2011/10/05
688,3653,健策,股票,電子零組件業,2009/11/18
689,3661,世芯-KY,股票,半導體業,2014/10/28
690,3665,貿聯-KY,股票,其他電子業,2011/04/21
691,3669,圓展,股票,光電業,2011/08/25
692,3673,TPK-KY,股票,光電業,2010/10/29
693,3679,新至陞,股票,電子零組件業,2011/10/05
694,3682,亞太電,股票,通信網路業,2013/08/05
695,3686,達能,股票,半導體業,2010/07/20
696,3694,海華,股票,通信網路業,2011/05/03
697,3701,大眾控,股票,電腦及週邊設備業,2004/08/30
698,3702,大聯大,股票,電子通路業,2005/11/09
699,3703,欣陸,股票,建材營造業,2010/04/08
700,3704,合勤控,股票,通信網路業,2010/08/16
701,3705,永信,股票,生技醫療業,2011/01/03
702,3706,神達,股票,電腦及週邊設備業,2013/09/12
703,3708,上緯投控,股票,化學工業,2016/08/31
704,3711,日月光投控,股票,半導體業,2018/04/30
705,3712,永崴投控,股票,電腦及週邊設備業,2018/10/01
706,3714,富采,股票,光電業,2021/01/06
707,4104,佳醫,股票,生技醫療業,2007/12/31
708,4106,雃博,股票,生技醫療業,2004/11/08
709,4108,懷特,股票,生技醫療業,2008/07/16
710,4119,旭富,股票,生技醫療業,2004/01/07
711,4133,亞諾法,股票,生技醫療業,2009/12/28
712,4137,麗豐-KY,股票,生技醫療業,2013/11/27
713,4141,龍燈-KY,股票,生技醫療業,2012/04/25
714,4142,國光生,股票,生技醫療業,2012/05/03
715,4148,全宇生技-KY,股票,生技醫療業,2017/06/08
716,4155,訊映,股票,生技醫療業,2017/12/05
717,4164,承業醫,股票,生技醫療業,2012/10/24
718,4190,佐登-KY,股票,生技醫療業,2015/10/21
719,4306,炎洲,股票,塑膠工業,2008/01/21
720,4414,如興,股票,紡織纖維,2004/09/06
721,4426,利勤,股票,紡織纖維,2011/12/16
722,4438,廣越,股票,紡織纖維,2016/10/18
723,4439,冠星-KY,股票,紡織纖維,2019/12/05
724,4526,東台,股票,電機機械,2003/09/15
725,4532,瑞智,股票,電機機械,2003/08/04
726,4536,拓凱,股票,其他業,2013/10/09
727,4540,全球傳動,股票,電機機械,2018/08/15
728,4545,銘鈺,股票,電子零組件業,2016/01/06
729,4551,智伸科,股票,汽車工業,2015/08/10
730,4552,力達-KY,股票,電機機械,2016/07/20
731,4555,氣立,股票,電機機械,2015/10/27
732,4557,永新-KY,股票,汽車工業,2015/10/12
733,4560,強信-KY,股票,電機機械,2017/05/26
734,4562,穎漢,股票,電機機械,2017/08/21
735,4564,元翎,股票,電機機械,2019/03/07
736,4566,時碩工業,股票,電機機械,2018/02/05
737,4571,鈞興-KY,股票,電機機械,2019/09/17
738,4572,駐龍,股票,電機機械,2019/09/10
739,4576,大銀微系統,股票,電機機械,2019/09/04
740,4581,光隆精密-KY,股票,汽車工業,2020/03/09
741,4720,德淵,股票,化學工業,2015/06/24
742,4722,國精化,股票,化學工業,2012/08/15
743,4737,華廣,股票,生技醫療業,2010/12/23
744,4739,康普,股票,化學工業,2017/09/08
745,4746,台耀,股票,生技醫療業,2011/03/01
746,4755,三福化,股票,化學工業,2013/11/27
747,4763,材料-KY,股票,化學工業,2015/11/09
748,4764,雙鍵,股票,化學工業,2018/01/04
749,4766,南寶,股票,化學工業,2018/11/28
750,4807,日成-KY,股票,貿易百貨業,2017/06/26
751,4904,遠傳,股票,通信網路業,2005/08/24
752,4906,正文,股票,通信網路業,2003/06/30
753,4912,聯德控股-KY,股票,電子零組件業,2015/05/21
754,4915,致伸,股票,電子零組件業,2012/10/05
755,4916,事欣科,股票,電腦及週邊設備業,2013/11/21
756,4919,新唐,股票,半導體業,2010/09/27
757,4927,泰鼎-KY,股票,電子零組件業,2015/09/08
758,4930,燦星網,股票,電器電纜,2010/06/21
759,4934,太極,股票,光電業,2010/03/10
760,4935,茂林-KY,股票,光電業,2011/07/28
761,4938,和碩,股票,電腦及週邊設備業,2010/06/24
762,4942,嘉彰,股票,光電業,2011/06/27
763,4943,康控-KY,股票,電子零組件業,2016/11/11
764,4952,凌通,股票,半導體業,2011/11/01
765,4956,光鋐,股票,光電業,2011/10/24
766,4958,臻鼎-KY,股票,電子零組件業,2011/12/26
767,4960,誠美材,股票,光電業,2011/10/24
768,4961,天鈺,股票,半導體業,2018/10/17
769,4967,十銓,股票,半導體業,2019/01/14
770,4968,立積,股票,半導體業,2015/11/13
771,4976,佳凌,股票,光電業,2012/11/20
772,4977,眾達-KY,股票,通信網路業,2013/11/20
773,4989,榮科,股票,電子零組件業,2018/06/28
774,4994,傳奇,股票,資訊服務業,2013/12/25
775,4999,鑫禾,股票,電子零組件業,2013/06/03
776,5007,三星,股票,鋼鐵工業,2011/09/16
777,5203,訊連,股票,資訊服務業,2004/09/27
778,5215,科嘉-KY,股票,電腦及週邊設備業,2011/12/26
779,5225,東科-KY,股票,其他電子業,2012/11/05
780,5234,達興材料,股票,光電業,2012/07/16
781,5243,乙盛-KY,股票,光電業,2013/11/25
782,5258,虹堡,股票,電腦及週邊設備業,2016/12/30
783,5269,祥碩,股票,半導體業,2012/12/12
784,5283,禾聯碩,股票,電器電纜,2019/05/24
785,5284,jpp-KY,股票,其他業,2017/03/09
786,5285,界霖,股票,半導體業,2014/02/25
787,5288,豐祥-KY,股票,電機機械,2014/09/25
788,5388,中磊,股票,通信網路業,2007/12/03
789,5434,崇越,股票,電子通路業,2003/08/25
790,5469,瀚宇博,股票,電子零組件業,2003/08/25
791,5471,松翰,股票,半導體業,2003/08/25
792,5484,慧友,股票,光電業,2003/08/25
793,5515,建國,股票,建材營造業,2003/10/06
794,5519,隆大,股票,建材營造業,2014/02/10
795,5521,工信,股票,建材營造業,2012/12/18
796,5522,遠雄,股票,建材營造業,2007/08/06
797,5525,順天,股票,建材營造業,2004/11/26
798,5531,鄉林,股票,建材營造業,2005/01/31
799,5533,皇鼎,股票,建材營造業,2008/04/30
800,5534,長虹,股票,建材營造業,2004/05/24
801,5538,東明-KY,股票,鋼鐵工業,2013/12/16
802,5546,永固-KY,股票,建材營造業,2020/05/20
803,5607,遠雄港,股票,航運業,2004/12/02
804,5608,四維航,股票,航運業,2003/08/25
805,5706,鳳凰,股票,觀光事業,2011/10/21
806,5871,中租-KY,股票,其他業,2011/12/13
807,5876,上海商銀,股票,金融保險業,2018/10/19
808,5880,合庫金,股票,金融保險業,2011/12/01
809,5906,台南-KY,股票,貿易百貨業,2011/10/24
810,5907,大洋-KY,股票,貿易百貨業,2012/06/06
811,6005,群益證,股票,金融保險業,2005/11/21
812,6024,群益期,股票,金融保險業,2017/10/16
813,6108,競國,股票,電子零組件業,2008/12/30
814,6112,聚碩,股票,資訊服務業,2003/08/04
815,6115,鎰勝,股票,電子零組件業,2004/07/19
816,6116,彩晶,股票,光電業,2004/09/06
817,6117,迎廣,股票,電腦及週邊設備業,2003/08/25
818,6120,達運,股票,光電業,2006/09/13
819,6128,上福,股票,電腦及週邊設備業,2003/06/16
820,6131,鈞泰,股票,光電業,2004/09/27
821,6133,金橋,股票,電子零組件業,2003/08/15
822,6136,富爾特,股票,通信網路業,2003/08/25
823,6139,亞翔,股票,其他電子業,2003/08/25
824,6141,柏承,股票,電子零組件業,2003/10/22
825,6142,友勁,股票,通信網路業,2003/08/04
826,6152,百一,股票,通信網路業,2009/12/08
827,6153,嘉聯益,股票,電子零組件業,2008/01/21
828,6155,鈞寶,股票,電子零組件業,2006/08/18
829,6164,華興,股票,光電業,2008/10/21
830,6165,浪凡,股票,電子零組件業,2003/08/04
831,6166,凌華,股票,電腦及週邊設備業,2004/11/08
832,6168,宏齊,股票,光電業,2003/08/25
833,6172,互億,股票,電腦及週邊設備業,2004/05/24
834,6176,瑞儀,股票,光電業,2007/05/15
835,6177,達麗,股票,建材營造業,2013/08/01
836,6183,關貿,股票,資訊服務業,2011/12/01
837,6184,大豐電,股票,其他業,2005/02/15
838,6189,豐藝,股票,電子通路業,2004/05/24
839,6191,精成科,股票,電子零組件業,2007/10/19
840,6192,巨路,股票,其他電子業,2004/09/27
841,6196,帆宣,股票,其他電子業,2004/05/24
842,6197,佳必琪,股票,電子零組件業,2004/11/08
843,6201,亞弘電,股票,其他電子業,2004/09/27
844,6202,盛群,股票,半導體業,2004/09/27
845,6205,詮欣,股票,電子零組件業,2008/01/21
846,6206,飛捷,股票,電腦及週邊設備業,2004/08/03
847,6209,今國光,股票,光電業,2004/11/08
848,6213,聯茂,股票,電子零組件業,2008/01/21
849,6214,精誠,股票,資訊服務業,2010/12/30
850,6215,和椿,股票,其他電子業,2007/12/31
851,6216,居易,股票,通信網路業,2004/09/27
852,6224,聚鼎,股票,電子零組件業,2009/09/17
853,6225,天瀚,股票,光電業,2004/09/27
854,6226,光鼎,股票,光電業,2008/11/10
855,6230,尼得科超眾,股票,電腦及週邊設備業,2010/09/16
856,6235,華孚,股票,電腦及週邊設備業,2004/08/23
857,6239,力成,股票,半導體業,2004/11/08
858,6243,迅杰,股票,半導體業,2009/12/17
859,6251,定穎,股票,電子零組件業,2009/03/18
860,6257,矽格,股票,半導體業,2003/08/25
861,6269,台郡,股票,電子零組件業,2003/09/23
862,6271,同欣電,股票,半導體業,2007/11/16
863,6277,宏正,股票,電腦及週邊設備業,2003/10/30
864,6278,台表科,股票,光電業,2010/08/24
865,6281,全國電,股票,電子通路業,2005/12/08
866,6282,康舒,股票,電子零組件業,2003/09/08
867,6283,淳安,股票,其他電子業,2008/01/21
868,6285,啟碁,股票,通信網路業,2003/09/22
869,6288,聯嘉,股票,汽車工業,2018/05/09
870,6289,華上,股票,光電業,2003/08/28
871,6405,悅城,股票,光電業,2013/11/28
872,6409,旭隼,股票,其他電子業,2014/03/31
873,6412,群電,股票,電子零組件業,2013/11/08
874,6414,樺漢,股票,電腦及週邊設備業,2014/03/28
875,6415,矽力-KY,股票,半導體業,2013/12/12
876,6416,瑞祺電通,股票,通信網路業,2018/04/16
877,6426,統新,股票,通信網路業,2021/03/24
878,6431,光麗-KY,股票,光電業,2014/12/04
879,6438,迅得,股票,其他電子業,2021/01/19
880,6442,光聖,股票,通信網路業,2015/07/14
881,6443,元晶,股票,光電業,2015/10/01
882,6449,鈺邦,股票,電子零組件業,2014/12/09
883,6451,訊芯-KY,股票,半導體業,2015/01/26
884,6456,GIS-KY,股票,光電業,2015/06/12
885,6464,台數科,股票,其他業,2015/12/16
886,6477,安集,股票,光電業,2016/06/21
887,6491,晶碩,股票,生技醫療業,2019/10/07
888,6504,南六,股票,其他業,2013/05/07
889,6505,台塑化,股票,油電燃氣業,2003/12/26
890,6515,穎崴,股票,半導體業,2021/01/20
891,6525,捷敏-KY,股票,半導體業,2016/04/12
892,6531,愛普,股票,半導體業,2016/05/31
893,6533,晶心科,股票,半導體業,2017/03/14
894,6541,泰福-KY,股票,生技醫療業,2017/10/26
895,6552,易華電,股票,半導體業,2017/01/10
896,6558,興能高,股票,其他電子業,2018/12/05
897,6573,虹揚-KY,股票,半導體業,2017/09/26
898,6579,研揚,股票,電腦及週邊設備業,2017/08/21
899,6581,鋼聯,股票,其他業,2018/01/30
900,6582,申豐,股票,橡膠工業,2017/06/14
901,6591,動力-KY,股票,電腦及週邊設備業,2017/12/28
902,6592,和潤企業,股票,其他業,2019/12/09
903,6598,ABC-KY,股票,生技醫療業,2020/06/09
904,6605,帝寶,股票,汽車工業,2004/03/17
905,6625,必應,股票,其他業,2018/02/07
906,6641,基士德-KY,股票,其他業,2018/09/21
907,6655,科定,股票,其他業,2018/11/28
908,6666,羅麗芬-KY,股票,生技醫療業,2018/11/19
909,6668,中揚光,股票,光電業,2018/12/12
910,6669,緯穎,股票,電腦及週邊設備業,2019/03/27
911,6670,復盛應用,股票,其他業,2018/12/18
912,6671,三能-KY,股票,其他業,2018/12/11
913,6672,騰輝電子-KY,股票,電子零組件業,2019/04/17
914,6674,鋐寶科技,股票,通信網路業,2018/11/28
915,6698,旭暉應材,股票,其他電子業,2019/11/25
916,6706,惠特,股票,光電業,2019/12/19
917,6715,嘉基,股票,電子零組件業,2019/12/12
918,6743,安普新,股票,其他電子業,2020/12/14
919,6754,匯僑設計,股票,其他業,2020/08/25
920,6756,威鋒電子,股票,半導體業,2020/12/24
921,6776,展碁國際,股票,電子通路業,2021/03/31
922,6781,AES-KY,股票,電子零組件業,2021/03/22
923,8011,台通,股票,通信網路業,2011/09/19
924,8016,矽創,股票,半導體業,2003/12/25
925,8021,尖點,股票,其他電子業,2008/01/21
926,8028,昇陽半導體,股票,半導體業,2018/07/10
927,8033,雷虎,股票,其他業,2007/06/21
928,8039,台虹,股票,電子零組件業,2009/12/17
929,8046,南電,股票,電子零組件業,2006/04/07
930,8070,長華*,股票,電子通路業,2007/12/31
931,8072,陞泰,股票,電子通路業,2005/08/19
932,8081,致新,股票,半導體業,2008/12/30
933,8101,華冠,股票,通信網路業,2004/07/01
934,8103,瀚荃,股票,電子零組件業,2009/09/29
935,8104,錸寶,股票,光電業,2019/01/17
936,8105,凌巨,股票,光電業,2006/12/27
937,8110,華東,股票,半導體業,2007/10/31
938,8112,至上,股票,電子通路業,2007/12/31
939,8114,振樺電,股票,電腦及週邊設備業,2012/11/26
940,8131,福懋科,股票,半導體業,2007/11/29
941,8150,南茂,股票,半導體業,2014/04/11
942,8163,達方,股票,電腦及週邊設備業,2007/11/28
943,8201,無敵,股票,其他電子業,2007/10/29
944,8210,勤誠,股票,電腦及週邊設備業,2011/12/01
945,8213,志超,股票,電子零組件業,2009/12/25
946,8215,明基材,股票,光電業,2010/11/12
947,8222,寶一,股票,電機機械,2015/01/27
948,8249,菱光,股票,電子零組件業,2005/05/17
949,8261,富鼎,股票,半導體業,2009/12/11
950,8271,宇瞻,股票,半導體業,2010/12/29
951,8341,日友,股票,其他業,2015/03/23
952,8367,建新國際,股票,航運業,2018/09/12
953,8374,羅昇,股票,電機機械,2008/12/25
954,8404,百和興業-KY,股票,其他業,2011/05/18
955,8411,福貞-KY,股票,其他業,2011/11/01
956,8422,可寧衛,股票,其他業,2011/10/05
957,8427,基勝-KY,股票,其他業,2011/12/06
958,8429,金麗-KY,股票,貿易百貨業,2012/12/20
959,8442,威宏-KY,股票,其他業,2016/11/08
960,8443,阿瘦,股票,貿易百貨業,2014/09/15
961,8454,富邦媒,股票,貿易百貨業,2014/12/19
962,8462,柏文,股票,觀光事業,2019/03/15
963,8463,潤泰材,股票,其他業,2015/07/13
964,8464,億豐,股票,其他業,2015/12/22
965,8466,美吉吉-KY,股票,其他業,2016/11/01
966,8467,波力-KY,股票,其他業,2015/12/15
967,8473,山林水,股票,其他業,2016/09/08
968,8478,東哥遊艇,股票,其他業,2017/12/11
969,8480,泰昇-KY,股票,其他業,2017/01/17
970,8481,政伸,股票,其他業,2017/02/24
971,8482,商億-KY,股票,其他業,2018/08/15
972,8488,吉源-KY,股票,其他業,2016/12/13
973,8499,鼎炫-KY,股票,其他業,2017/11/24
974,8926,台汽電,股票,油電燃氣業,2003/08/25
975,8940,新天地,股票,觀光事業,2009/05/15
976,8996,高力,股票,電機機械,2014/02/14
977,9802,鈺齊-KY,股票,其他業,2012/10/18
978,9902,台火,股票,其他業,1964/07/14
979,9904,寶成,股票,其他業,1990/01/19
980,9905,大華,股票,其他業,1990/08/08
981,9906,欣巴巴,股票,建材營造業,1990/12/15
982,9907,統一實,股票,其他業,1991/01/29
983,9908,大台北,股票,油電燃氣業,1991/02/06
984,9910,豐泰,股票,其他業,1992/02/18
985,9911,櫻花,股票,其他業,1992/07/16
986,9912,偉聯,股票,電腦及週邊設備業,1992/08/08
987,9914,美利達,股票,其他業,1992/09/30
988,9917,中保科,股票,其他業,1993/12/08
989,9918,欣天然,股票,油電燃氣業,1994/04/26
990,9919,康那香,股票,其他業,1994/11/04
991,9921,巨大,股票,其他業,1994/12/29
992,9924,福興,股票,其他業,1995/03/15
993,9925,新保,股票,其他業,1995/12/09
994,9926,新海,股票,油電燃氣業,1998/04/08
995,9927,泰銘,股票,其他業,1999/03/12
996,9928,中視,股票,其他業,1999/08/09
997,9929,秋雨,股票,其他業,1999/06/28
998,9930,中聯資源,股票,其他業,1999/11/22
999,9931,欣高,股票,油電燃氣業,2000/03/21
1000,9933,中鼎,股票,其他業,1993/05/28
1001,9934,成霖,股票,其他業,2000/09/11
1002,9935,慶豐富,股票,其他業,2000/09/11
1003,9937,全國,股票,油電燃氣業,2000/09/11
1004,9938,百和,股票,其他業,2001/01/12
1005,9939,宏全,股票,其他業,2001/03/02
1006,9940,信義,股票,其他業,2001/09/17
1007,9941,裕融,股票,其他業,2001/09/17
1008,9942,茂順,股票,其他業,2002/01/28
1009,9943,好樂迪,股票,觀光事業,2002/08/26
1010,9944,新麗,股票,其他業,2002/08/26
1011,9945,潤泰新,股票,其他業,1992/04/30
1012,9946,三發地產,股票,建材營造業,2013/09/17
1013,9955,佳龍,股票,其他業,2008/01/21
1014,9958,世紀鋼,股票,鋼鐵工業,2008/03/12
